title,final_price,old_price,discount,Desc
LOGITECH 920-010507 LOGI MX KEYS MINI ILLUMINATED KEYBOARD ROSE 1Y,S$149.00,S$179.00,(save 16%),"Dimensions (w X H X d): 11.65 In (295.99 Mm) X 5.19 In (131.95 Mm) X 0.82 In (20.97 Mm)
Others: Charge Fast, Connect Faster
Key Features (2): Introducing Emoji, Dictation, And Mic Mute / Unmute Keys"
LOGITECH 920-010505 LOGI MX KEYS MINI ILLUMINATED KEYBOARD GRAPHITE 1Y,S$149.00,S$179.00,(save 16%),"Dimensions (w X H X d): 11.65 In (295.99 Mm) X 5.19 In (131.95 Mm) X 0.82 In (20.97 Mm)
Others: Charge Fast, Connect Faster
Key Features (2): Introducing Emoji, Dictation, And Mic Mute / Unmute Keys"
LOGITECH 920-010506 LOGI MX KEYS MINI ILLUMINATED KEYBOARD WHITE 1Y,S$149.00,S$179.00,(save 16%),"Dimensions (w X H X d): 11.65 In (295.99 Mm) X 5.19 In (131.95 Mm) X 0.82 In (20.97 Mm)
Others: Charge Fast, Connect Faster
Key Features (2): Introducing Emoji, Dictation, And Mic Mute / Unmute Keys"
ASUS ROG STRIX SCOPE RX GAMING KEYBOARD,S$149.00,S$169.00,(save 11%),Dimensions (w X H X d): 440x137x39 mm
LOGITECH 920-009418 LOGITECH MX KEYS ADVANCED ILLUMINATED KEYBOARD,S$169.00,S$199.00,(save 15%),"Dimensions (w X H X d): 1.41 Ft (430.2 Mm) X 5.18 In (131.63 Mm) X 0.80 In (20.5 Mm)
Others: EasY-Switch Keys To Connect Up To Three Devices And Easily Switch Between Them
Key Features (2): Ambient Light Sensors That Adjust Backlighting Brightness"
LOGITECH 920-009560 MX KEYS FOR MAC ILLUMINATED KEYBOARD,S$169.00,S$199.00,(save 15%),"Dimensions (w X H X d): 430.2 Mm X 20.5 Mm X 131.63 mm
Others: EasY-Switch Keys To Connect Up To Three Devices And Easily Switch Between Them
Key Features (2): Hand Proximity Sensors That Turn The Backlighting on"
LOGITECH 920-009660 G915 TKL WIRELESS KEYBOARD WHITE MECH (GL-TACTILE),S$279.00,S$349.00,(save 20%),"Dimensions (w X H X d): 150 Mm X 22 Mm X 368 mm
Others: Dedicated Media Control And Edgeless Volume Wheel
Key Features (2): Features PrO-Grade Lightspeed Wireless"
LOGITECH 920-009529 G915 TKL WIRELESS KEYBOARD MECH RGB KB (GL-CLICKY),S$279.00,S$349.00,(save 20%),"Dimensions (w X H X d): 150 Mm X 22 Mm X 368 mm
Others: Dedicated Media Control And Edgeless Volume Wheel
Key Features (2): Features PrO-Grade Lightspeed Wireless"
LOGITECH 920-009512 G915 TKL WIRELESS KEYBOARD MECH RGB KB (GL-LINEAR),S$279.00,S$349.00,(save 20%),"Dimensions (w X H X d): 810 G
Others: Features PrO-Grade Lightspeed Wireless
Key Features (2): 150 Mm X 22 Mm X 368 mm"
LOGITECH 920-009226 G915 WIRELESS MECHANICAL RGB KEYBOARD (TACTILE),S$319.00,S$399.00,(save 20%),"Dimensions (w X H X d): 150 X 22 X 475
Others: Lightspeed Wireless
Key Features (2): 5 Dedicated G-Keys"
MICROSOFT 21Y-00047 BLUETOOTH KEYBOARD - GLACIER,S$89.30,S$105.00,(save 14%),"Others: Bluetooth® Low Energy 5.0
Key Features (2): Device Must Support Bluetooth® 4.0 Or Higher"
STEELSERIES APEX 5 RGB US GAMING KEYBOARD HYBRID BLUE SWITCH,S$179.00,S$232.00,(save 22%),"Others: Oled Smart Display Displays Profiles, Game Info, Discord Messages, And Moreá
Key Features (2): Aircraft Grade Aluminum Alloy Frame Built For Lifetime Of Unbreakable Durability"
STEELSERIES APEX 7 TKL RGB US GAMING KEYBOARD BLUE SWITCH,S$209.00,S$253.00,(save 17%),"Others: Oled Smart Display Displays Profiles, Game Info, Discord Messages, And Moreá
Key Features (2): Aircraft Grade Aluminum Alloy Frame Built For Lifetime Of Unbreakable Durability"
ASUS ROG STRIX SCOPE NX TKL X806 ML RD MOONLIGHT WHITE MECHANICAL RGB GAMING KEYBOARD ROG NX RED,S$229.00,S$259.00,(save 11%),"Dimensions (w X H X d): 356 X 136.2 X 39.7 mm
Others: For Fps Gamers: Enlarged L-Ctrl Key Minimizes Inadvertent Pressing Of Other Keys
Key Features (2): Aluminum ToP-Plate With Striking Slash Aesthetic Combines Resilience And Style"
STEELSERIES APEX 7 RGB US GAMING KEYBOARD BLUE SWITCH,S$259.00,S$313.00,(save 17%),"Others: Oled Smart Display Displays Profiles, Game Info, Discord Messages, And Moreá
Key Features (2): Aircraft Grade Aluminum Alloy Frame Built For Lifetime Of Unbreakable Durability"
STEELSERIES APEX 3 RGB US GAMING KEYBOARD SILENT SWITCH,S$109.00,S$131.00,(save 16%),"Others: Rated Ip32 Water Resistant To Prevent Accidental Damage From Liquid Spillsá
Key Features (2): 10-Zone Rgb Illumination For Gorgeous Color Schemes And Reactive Effectsá"
LOGITECH 920-003057 WIRELESS KEYBOARD K270,S$39.00,,,"Macro Keys: Advanced 2.4 GHz Wireless
RGB: 24 Months Battery Life"
LOGITECH 920-008250 K375S MULTI DEVICE WIRELESS KEYBOARD,S$49.00,,,"Others: Logitech Unifying Protocol (2.4ghz) Bluetooth Smart Technology
Key Features (2): Wireless Range: 33 Ft / 10 M Wireless Range"
MICROSOFT N9Z-00028 ALL IN ONE MEDIA KEYBOARD,S$53.00,,,"Others: Works With Select Tvs And Gaming Consoles
Key Features (2): Hard Drive Space:150 mb"
